image_name,image_path,custom_text_path,baseline_text_path,custom_char_count,baseline_char_count,custom_word_count,baseline_word_count,text_similarity_ratio
00040534.png,data/raw/images/00040534.png,output/raw_text/00040534.txt,output/raw_text_baseline/00040534.txt,876,1141,159,201,0.3946
00070353.png,data/raw/images/00070353.png,output/raw_text/00070353.txt,output/raw_text_baseline/00070353.txt,854,775,138,111,0.2983
00093726.png,data/raw/images/00093726.png,output/raw_text/00093726.txt,output/raw_text_baseline/00093726.txt,1411,1363,226,215,0.3821
00283813.png,data/raw/images/00283813.png,output/raw_text/00283813.txt,output/raw_text_baseline/00283813.txt,1455,1153,289,213,0.2500
00836244.png,data/raw/images/00836244.png,output/raw_text/00836244.txt,output/raw_text_baseline/00836244.txt,515,683,134,125,0.1853
00836816.png,data/raw/images/00836816.png,output/raw_text/00836816.txt,output/raw_text_baseline/00836816.txt,385,786,72,127,0.0991
00837285.png,data/raw/images/00837285.png,output/raw_text/00837285.txt,output/raw_text_baseline/00837285.txt,1138,1258,207,223,0.2947
00838511_00838525.png,data/raw/images/00838511_00838525.png,output/raw_text/00838511_00838525.txt,output/raw_text_baseline/00838511_00838525.txt,80,269,20,41,0.2808
660978.png,data/raw/images/660978.png,output/raw_text/660978.txt,output/raw_text_baseline/660978.txt,599,613,102,93,0.3284
716552.png,data/raw/images/716552.png,output/raw_text/716552.txt,output/raw_text_baseline/716552.txt,901,1171,171,183,0.1255
